ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ计
114/06/09,"92.28","92.79","91.55","92.21","18,696,845"
114/06/10,"91.73","92.78","91.26","91.67","20,713,988"
114/06/11,"90.55","91.63","89.90","90.89","18,203,391"
114/06/12,"91.30","91.31","90.87","91.15","10,619,145"
114/06/13,"91.56","92.36","90.87","91.49","21,908,628"
114/06/16,"90.18","90.80","90.16","90.38","20,176,780"
114/06/17,"91.35","91.74","90.79","91.50","15,548,230"
114/06/18,"92.29","92.92","91.33","92.31","21,233,914"
114/06/19,"91.81","92.53","91.44","92.17","15,496,333"
114/06/20,"92.52","93.16","91.92","92.84","20,400,529"
114/06/23,"93.13","93.49","93.12","93.28","13,986,924"
114/06/24,"92.26","92.37","91.78","92.37","12,820,684"
114/06/25,"90.94","91.99","90.47","91.17","13,022,261"
114/06/26,"91.79","92.78","91.64","92.11","19,606,162"
114/06/27,"90.67","91.48","90.44","90.86","20,897,877"
114/06/30,"91.32","92.36","90.98","91.45","14,437,861"
114/07/01,"91.70","92.39","91.55","91.88","21,019,948"
114/07/02,"92.95","93.79","92.31","92.88","20,404,184"
114/07/03,"92.90","93.55","92.72","93.02","21,686,851"
114/07/04,"93.98","94.75","93.80","94.30","20,101,671"
114/07/07,"95.97","96.97","95.22","95.66","16,004,032"
114/07/08,"95.37","95.93","94.27","95.53","10,777,063"
114/07/09,"95.46","96.57","94.43","95.50","12,558,197"
114/07/10,"96.40","96.79","95.13","96.15","19,218,343"
114/07/11,"96.18","97.15","95.51","95.85","14,606,375"
114/07/14,"96.82","97.34","96.01","96.84","9,543,902"
114/07/15,"97.93","98.84","96.84","98.19","21,818,606"
114/07/16,"98.24","98.55","98.13","98.45","10,695,138"
114/07/17,"97.49","97.81","96.92","97.24","21,549,566"
114/07/18,"98.47","99.29","97.36","98.10","20,464,801"
114/07/21,"97.98","98.61","97.33","98.17","8,790,262"
114/07/22,"97.62","98.44","96.80","97.46","13,644,577"
114/07/23,"97.74","98.60","96.59","97.96","18,667,514"
114/07/24,"99.22","100.07","98.74","99.30","9,521,937"
114/07/25,"97.57","98.79","97.31","97.76","14,144,824"
114/07/28,"98.93","99.48","98.05","98.69","20,611,465"
114/07/29,"99.03","100.19","98.39","99.25","15,335,208"
114/07/30,"98.28","99.39","97.92","98.17","12,180,722"
114/07/31,"97.50","98.28","96.09","97.17","13,573,948"
114/08/01,"97.59","98.42","97.28","97.56","13,749,459"
114/08/04,"98.57","99.14","97.97","98.40","17,025,968"
114/08/05,"100.13","100.37","99.37","99.84","12,454,586"
114/08/06,"98.55","99.30","97.46","98.35","14,467,550"
114/08/07,"98.44","99.76","97.28","98.61","20,912,799"
114/08/08,"100.01","101.00","99.26","99.64","14,578,074"
114/08/11,"100.74","101.10","100.64","100.84","20,441,699"
114/08/12,"101.64","102.00","101.04","101.73","10,566,209"
114/08/13,"101.54","102.11","100.42","101.32","15,182,901"
114/08/14,"102.85","103.35","102.60","102.71","11,021,124"
114/08/15,"101.87","102.96","101.61","102.00","15,452,457"
114/08/18,"101.38","102.71","101.21","101.51","20,048,674"
114/08/19,"102.79","103.22","101.89","102.91","18,229,718"
114/08/20,"102.07","102.41","100.99","102.26","8,934,658"
114/08/21,"103.62","103.98","102.77","103.80","21,504,067"
114/08/22,"103.82","105.02","102.71","104.21","18,305,915"
114/08/25,"105.10","106.35","104.80","104.86","8,932,004"
114/08/26,"105.16","105.37","103.73","104.94","9,249,249"
114/08/27,"105.04","105.98","104.29","104.97","8,403,067"
114/08/28,"106.64","107.21","105.17","106.36","14,341,400"
114/08/29,"104.61","104.80","104.05","104.77","11,920,624"
